Tipo;Vetas desde la base;largo de la veta más larga;Ancho máximo;Ángulo de la base;Longitud a 45 grados
Gorda;1;5,5;3;65;2,5
Puntiaguda;1;8;2;25;0
Gorda;1;7,5;4,5;35;0
Gorda;1;9;3,5;50;2
Trhija;5;7;8,5;135;7
Puntiaguda;1;6;2;30;0
Gorda;1;7,5;3,5;50;1,5
Puntiaguda;1;9,5;3,3;35;0
Inclasificable;1;10;1,5;70;1
Gorda;0;10,5;4,5;75;3
Puntiaguda;1;9,2;3,2;40;0
Puntiaguda;1;3,5;2,3;25;0
Puntiaguda;1;7,8;2,2;50;1,8
Puntiaguda;1;9;3,5;30;0
Gorda;1;6,5;3,2;90;2
Gorda;1;8;3,5;55;2,2
Puntiaguda;1;5,5;3;50;1,7
Gorda;1;6,8;3;80;2,4
Puntiaguda;1;6,5;2,5;50;1,5
Puntiaguda;1;5,5;2,3;90;2
Puntiaguda;1;5,8;1,8;60;1
Trhija;3;9;7;115;4
Gorda;1;4,5;2;30;0
Inclasificable;1;4,5;2,5;105;2
Puntiaguda;1;7;2,5;30;0
Puntiaguda;1;4,5;1,8;90;1,5
Gorda;1;4;2,7;100;2
Puntiaguda;1;6;2;22;0
Puntiaguda;1;5;1;30;0
Puntiaguda;1;5;1,4;35;0
Puntiaguda;1;3,5;2;35;0
Puntiaguda;1;2,5;2,5;50;0,5
Gorda;1;2;1,2;25;0
Gorda;1;2;1,5;40;0
Gorda;1;2,3;1,4;40;0
Gorda;1;2;1,5;40;0
Gorda;1;1,5;1;55;0,5
Gorda;1;1,8;1,2;30;0
Gorda;1;1,5;0,7;30;0
Gorda;1;1,5;0,9;35;0
Gorda;1;1,7;1,3;30;0
Tipo;Vetas desde la base;largo de la veta más larga;Ancho máximo;Ángulo de la base;Longitud a 45 grados
