Clasificador hojas,,,,,
Binario,,Cinco dimensiones,,knn,
"Multifases, tienen diferencias. ",,,,,
# hoja,l_stem,ancho_max,l_45,# Stems,° Base
tri,12.2,10.5,7,7,120
tri ,8.5,9.9,5.5,5,81
tri,9.2,10.1,5.6,5,97
tri,7.6,10.5,6.1,7,105
tri,9.1,9.9,5.7,7,107
tri,4,4.1,2.1,6,117
,,,,,
,Ancho_cm,Alto_cm,Betas,Theta_deg,L_cm
,6,16,1,0,0
,2.5,4.5,1,40,3
,2.5,9,1,73,1.5
,2,16,1,22.5,0
,3,10,1,45,0.5
,1.5,6,1,45,0.5
,1.3,7.5,1,5,0
,3.3,4,1,20,0
,2,8,1,60,0.7
,2,6,1,10,0
,0.5,1,1,22,0
,0.5,1.3,1,22,0
,9.5,10,4,45,0.3
,5,7,6,130,6
,21,17,5,135,4
,9,9,1,120,13
,2.5,10,1,22,0
,5.3,5.5,5,10,0
,2.5,8,1,180,2
,8,4.5,3,50,2
,4,7,1,90,2
,,,,,
,,,,,
Ancho_cm,Alto_cm,Betas,Theta_deg,L_cm,Fuente
6,16,1,0,0,csv_original
2.5,4.5,1,40,3,csv_original
2.5,9,1,73,1.5,csv_original
2,16,1,22.5,0,csv_original
3,10,1,45,0.5,csv_original
1.5,6,1,45,0.5,csv_original
1.3,7.5,1,5,0,csv_original
3.3,4,1,20,0,csv_original
2,8,1,60,0.7,csv_original
2,6,1,10,0,csv_original
0.5,1,1,22,0,csv_original
0.5,1.3,1,22,0,csv_original
9.5,10,4,45,0.3,csv_original
5,7,6,130,6,csv_original
21,17,5,135,4,csv_original
9,9,1,120,13,csv_original
2.5,10,1,22,0,csv_original
5.3,5.5,5,10,0,csv_original
2.5,8,1,180,2,csv_original
8,4.5,3,50,2,csv_original
4,7,1,90,2,csv_original
10.5,12.2,7,120,7,imagen
9.9,8.5,5,81,5.5,imagen
10.1,9.2,5,97,5.6,imagen
10.5,7.6,7,105,6.1,imagen
9.9,9.1,7,107,5.7,imagen
4.1,4,6,117,2.1,imagen
11.5,11.5,3,105,6.5,texto
2.25,7.5,1,30,0,texto
2,7.3,1,30,0,texto
7.8,6.3,5,105,4.2,texto
11,13,1,85,9,texto
9.1,7.5,4,185,3.3,texto
2.25,7,1,40,0,texto
3.7,6.8,3,100,3.5,texto
1.1,7.5,0,15,0,texto
1,1.7,1,60,1,texto
