Tipo,# betas,Largo(cm),Ancho(cm),theta(°),L(45°)(cm)
palmeada,1,5.5,3.0,65,2.5
lanceolada,1,8.0,2.0,25,0.0
palmeada,1,7.5,4.5,35,0.0
palmeada,1,9.0,3.5,50,2.0
dentada,5,7.0,8.5,135,7.0
lanceolada,1,6.0,2.0,30,0.0
palmeada,1,7.5,3.5,50,1.5
lanceolada,1,9.5,3.3,35,0.0
lanceolada,1,10.0,1.5,70,1.0
palmeada,0,10.5,4.5,75,3.0
lanceolada,1,9.2,3.2,40,0.0
lanceolada,1,3.5,2.3,25,0.0
lanceolada,1,7.8,2.2,50,1.8
lanceolada,1,9.0,3.5,30,0.0
palmeada,1,6.5,3.2,90,2.0
palmeada,1,8.0,3.5,55,2.2
lanceolada,1,5.5,3.0,50,1.7
palmeada,1,6.8,3.0,80,2.4
lanceolada,1,6.5,2.5,50,1.5
lanceolada,1,5.5,2.3,90,2.0
lanceolada,1,5.8,1.8,60,1.0
dentada,3,9.0,7.0,115,4.0
palmeada,1,4.5,2.0,30,0.0
palmeada,1,4.5,2.5,105,2.0
lanceolada,1,7.0,2.5,30,0.0
lanceolada,1,4.5,1.8,90,1.5
palmeada,1,4.0,2.7,100,2.0
lanceolada,1,6.0,2.0,22,0.0
lanceolada,1,5.0,1.0,30,0.0
lanceolada,1,5.0,1.4,35,0.0
lanceolada,1,3.5,2.0,35,0.0
lanceolada,1,2.5,2.5,50,0.5
palmeada,1,2.0,1.2,25,0.0
palmeada,1,2.0,1.5,40,0.0
palmeada,1,2.3,1.4,40,0.0
palmeada,1,2.0,1.5,40,0.0
palmeada,1,1.5,1.0,55,0.5
palmeada,1,1.8,1.2,30,0.0
palmeada,1,1.5,0.7,30,0.0
palmeada,1,1.5,0.9,35,0.0
palmeada,1,1.7,1.3,30,0.0
dentada,7,12.2,10.5,120,7.0
dentada,5,8.5,9.9,81,5.5
dentada,5,9.2,10.1,97,5.6
dentada,7,7.6,10.5,105,6.1
dentada,7,9.1,9.9,107,5.7
dentada,6,4.0,4.1,117,2.1
dentada,4,10.0,9.5,45,0.3
dentada,6,7.0,5.0,130,6.0
dentada,5,17.0,21.0,135,4.0
dentada,3,11.5,11.5,105,6.5
dentada,5,6.3,7.8,105,4.2
dentada,4,7.5,9.1,185,3.3
dentada,3,6.8,3.7,100,3.5
lanceolada,1,16.0,6.0,0,0.0
lanceolada,1,4.5,2.5,40,3.0
lanceolada,1,9.0,2.5,73,1.5
lanceolada,1,16.0,2.0,22.5,0.0
lanceolada,1,10.0,3.0,45,0.5
lanceolada,1,6.0,1.5,45,0.5
lanceolada,1,7.5,1.3,5,0.0
lanceolada,1,4.0,3.3,20,0.0
lanceolada,1,8.0,2.0,60,0.7
lanceolada,1,6.0,2.0,10,0.0
lanceolada,1,1.0,0.5,22,0.0
lanceolada,1,1.3,0.5,22,0.0
palmeada,1,9.0,9.0,120,13.0
palmeada,1,10.0,2.5,22,0.0
palmeada,5,5.5,5.3,10,0.0
palmeada,1,8.0,2.5,180,2.0
palmeada,3,4.5,8.0,50,2.0
palmeada,1,7.0,4.0,90,2.0
lanceolada,1,7.5,2.25,30,0.0
lanceolada,1,7.3,2.0,30,0.0
lanceolada,1,7.0,2.25,40,0.0
lanceolada,0,7.5,1.1,15,0.0
lanceolada,1,1.7,1.0,60,1.0
palmeada,1,13.0,11.0,85,9.0
