estrella,id,analysis_type,ls_period,fap,peak_ratio,me_period,min_entropy
1,12,LS + Minimum Entropy,1.9744316016296422,0.0,539.6657440142161,1.9743986834635596,4.90530835938049
2,0f,LS + Minimum Entropy,3.1135871430628694,3.608495497500619e-192,377.99754610061655,3.113535232640344,4.178954050687956
3,26,LS + Minimum Entropy,0.29885953707676816,3.924191674851214e-89,79.27885133745073,0.29886451972993716,3.497725710423508
4,3e,LS + Minimum Entropy,0.23513239385758858,1.6729482301788962e-212,733.1664782062093,0.2351363140375462,7.5683271864156785
5,7f,LS + Minimum Entropy,1.025919702223975,5.1863168882410705e-225,326.66938712896865,1.025936806587133,4.549043334104358
6,5e,LS + Minimum Entropy,0.1565222812628623,1.317806103093331e-50,73.9286776803552,0.1565196716883164,3.3336300825997323
7,87,LS + Minimum Entropy,0.05554919659038078,3.6482927885391174e-270,603.7277818092273,0.0555575317482553,6.672435553651804
8,15,LS + Minimum Entropy,0.22612096149877112,0.0,1145.0796359078063,0.22611719155943302,7.603251938084077
9,85,LS + Minimum Entropy,0.1232082603525522,1.4435876477121705e-54,78.54744021514492,0.12321031450827666,3.5976179480560964
10,83,LS + Minimum Entropy,0.5687420696654572,0.0,3231.364509477661,0.568732587470231,7.180292597395398
11,1c,LS + Minimum Entropy,0.36520752029211695,0.0,1044.9086200146157,0.3652014314705049,6.106057290261527
12,2a,LS + Minimum Entropy,0.3007045530673853,0.0,472.5340953917578,0.3006995396536963,5.409095124031752
13,7e,LS + Minimum Entropy,0.2242613197329337,1.315506140845371e-87,235.08786958088774,0.22426505866790758,5.79340008519832
14,02,LS + Minimum Entropy,0.10299767903739562,5.2952192777337595e-117,152.18567043880037,0.10299596183701154,4.496283549372502
15,14,LS + Minimum Entropy,0.15948803011175636,3.709738737345365e-42,72.8007594294066,0.15949068913193162,3.2832154534083235
16,59,LS + Minimum Entropy,0.21326104969532592,2.2296399435237767e-58,165.90963113632688,0.213257494159319,5.594726666681618
17,56,LS + Minimum Entropy,0.08924160744064494,1.7720522888899755e-148,236.75685676245743,0.0892401195845689,5.195197223650207
18,79,LS + Minimum Entropy,0.544900936697608,6.115980978014922e-144,301.09011054325964,0.5448918519870929,5.074380914384372
19,4f,LS + Minimum Entropy,0.5661336953542161,2.581690632968465e-37,85.794046267099,0.5661242566463909,4.020207855626665
20,05,LS + Minimum Entropy,0.5316599380322692,1.0077108331453803e-107,236.54281584134648,0.5316688019858876,4.881553190195403
21,07,Lomb-Scargle Only,4.634082847927505,3.0311824024786717e-06,27.084314682068854,,
22,08,Lomb-Scargle Only,0.07450577779643917,4.495596617604104e-15,43.74687371861435,,
23,64,Lomb-Scargle Only,13.886900412447133,0.0036985720297337734,20.274972494902926,,
24,42,Lomb-Scargle Only,0.0505401246346994,5.1575706312518744e-33,62.85664679722647,,
25,38,Lomb-Scargle Only,0.684285300623867,2.853140689730799e-25,67.60059112089618,,
26,47,Lomb-Scargle Only,1.5138922299896014,1.0054698149333755e-36,60.70938214487755,,
27,22,Lomb-Scargle Only,0.5733440181780242,4.1777332063987353e-39,91.84868626150443,,
28,69,Lomb-Scargle Only,0.12910901849469,5.224892829565602e-33,80.0569238467938,,
29,0a,Lomb-Scargle Only,1.8257710766542916,1.0009408133180966e-28,101.20289257987564,,
30,2e,Lomb-Scargle Only,2.5429743293988603,1.016150496627446e-101,185.45763915312614,,
31,16,Lomb-Scargle Only,0.10033150183285847,2.6061411282635098e-132,149.99134939892272,,
32,33,Lomb-Scargle Only,0.2504070941571439,1.8939690245568776e-69,169.4697266802724,,
33,74,Lomb-Scargle Only,0.6770092787086346,9.767718162671201e-120,206.42027360362857,,
34,18,Lomb-Scargle Only,3.141190040961912,7.056841795588025e-131,257.4090221387208,,
35,89,Lomb-Scargle Only,1.3259005628125224,1.0885696731377751e-117,251.65126738973217,,
36,4c,Lomb-Scargle Only,3.5486286646321226,4.8554755982423405e-247,282.84929618056134,,
37,5d,Lomb-Scargle Only,0.9391899844026664,8.487428976035044e-116,261.4252444809551,,
38,52,Lomb-Scargle Only,1.7045973620802104,6.008433653090852e-296,297.6013605010454,,
39,1a,Lomb-Scargle Only,3.3365633359813924,3.2086916972343017e-171,319.15135760274643,,
40,4d,Lomb-Scargle Only,2.710379862676449,0.0,358.6922591274429,,
41,25,Lomb-Scargle Only,1.8886301249704727,0.0,322.6856327986078,,
42,4b,Lomb-Scargle Only,3.192883801445923,4.496516635673513e-216,402.4944208829846,,
43,48,Lomb-Scargle Only,8.017302607360255,1.3263979143180723e-269,399.1985346527167,,
44,1d,Lomb-Scargle Only,0.08320173372378742,3.96519480149786e-246,365.18776775135535,,
45,5c,Lomb-Scargle Only,0.06956713113081871,0.0,562.3704211694441,,
46,84,Lomb-Scargle Only,0.07643493298934007,1.1605130970549036e-263,509.73590418291434,,
47,67,Lomb-Scargle Only,3.4177080627550724,0.0,499.38576153875397,,
48,3b,Lomb-Scargle Only,0.1317402416895815,0.0,919.6450106358677,,
49,6c,Lomb-Scargle Only,0.4998230775143465,0.0,827.3858099356319,,
50,7c,Lomb-Scargle Only,0.25575109144640923,0.0,1105.3746356246359,,
