LMC562.01.100      RS CVn star
LMC562.01.51       LMV 1638, HV 12863
LMC562.02.7966     HV 12704
LMC562.04.43       HV 6091
LMC562.04.66       HV 12692
LMC562.04.693      RS CVn star
LMC562.05.9009     classical Cepheid with eclipses, HV 12690
LMC562.07.11092    HV 12678
LMC562.07.59       LMV 1085, HV 6074
LMC562.09.39       GCVS_V4651
LMC562.09.8233     HV 6097
LMC562.11.27       HV 12700
LMC562.11.9469     ellipsoidal (P = 422 d) and eclipsing (P = 1.712 d) variations
LMC562.12.86       HV 12694
LMC562.13.11358    HV 2879
LMC562.14.10425    HV 12686
LMC562.14.10429    HV 2873
LMC562.14.34       HV 12682
LMC562.15.11924    GCVS_V4496
LMC562.15.11942    HV 2866
LMC562.15.13677    RS CVn star
LMC562.16.24       HV 2861
LMC562.16.38       LMV 1485, HV 12671
LMC562.16.41       HV 6066
LMC562.20.58       HV 12701
LMC562.20.61       HV 12698
LMC562.21.263      Galactic RR Lyrae
LMC562.21.52       HV 2880
LMC562.21.9201     HV 6092
LMC562.21.9372     Galactic RR Lyrae
LMC562.22.116      RS CVn star
LMC562.22.48       HV 12693
LMC562.22.744      RS CVn star
LMC562.22.89       Galactic RR Lyrae
LMC562.23.11514    HV 2876
LMC562.23.11516    HV 12688
LMC562.23.14       HV 6085
LMC562.23.335      HV 6082
LMC562.24.11228    HV 2865
LMC562.24.11247    HV 2867
LMC562.24.11297    proper motion 34.2 mas/year
LMC562.24.15       HV 2869
LMC562.24.34       HV 2871
LMC562.25.11164    HV 12676
LMC562.25.11182    HV 12674
LMC562.25.67       HV 6064
LMC562.27.45       Galactic delta Scuti
LMC562.30.8849     LMV 727, HV 2878
LMC562.30.8891     proper motion 35.8 mas/year
LMC562.31.73       proper motion 55.0 mas/year
LMC562.31.9271     Galactic RR Lyrae, HV 6083
LMC562.32.52       HV 2872
LMC562.32.9299     HV 12679
LMC563.01.7745     proper motion 120 mas/year
LMC563.02.7332     proper motion 23.7 mas/year
LMC563.03.7882     proper motion 23.8 mas/year
LMC563.03.7893     proper motion 76.4 mas/year
LMC563.06.71       LMV 1681, HV 13005
LMC563.09.6173     Galactic RR Lyrae
LMC563.13.24       HV 12853 (?)
LMC563.14.137      proper motion 31.1 mas/year
LMC563.15.258      Galactic RR Lyrae
LMC563.16.45       RS CVn star
LMC563.16.8312     LMV 1487, HV 12673
LMC563.18.25       proper motion 24.7 mas/year
LMC563.22.11       proper motion 25.5 mas/year
LMC563.22.471      RS CVn star
LMC563.23.171      proper motion 32.0 mas/year
LMC563.25.156      RS CVn star
LMC563.26.5586     proper motion 63.3 mas/year
LMC563.26.9        proper motion 24.5 mas/year
LMC563.27.67       LMV 1826, HV 12861
LMC563.29.8        proper motion 42.2 mas/year
LMC563.31.149      proper motion 62.9 mas/year
LMC563.31.19       proper motion 25.1 mas/year
LMC563.31.347      RS CVn star
LMC563.31.6599     proper motion 26.9 mas/year
LMC563.32.5640     LMV 1629, HV 12850
LMC563.32.5702     HV 12849
LMC570.04.7177     proper motion 87.8 mas/year
LMC570.05.6654     proper motion 24.3 mas/year
LMC570.05.6780     proper motion 57.1 mas/year
LMC570.09.4791     proper motion 50.2 mas/year
LMC570.10.5        Galactic RR Lyrae, VX Dor
LMC570.11.27       proper motion 45.4 mas/year
LMC570.12.6090     proper motion 34.3 mas/year
LMC570.13.18       proper motion 42.2 mas/year
LMC570.14.6265     proper motion 28.3 mas/year
LMC570.14.6287     proper motion 28.3 mas/year
LMC570.14.6292     GCVS_V4665
LMC570.15.13       proper motion 42.0 mas/year
LMC570.18.5234     proper motion 20.7 mas/year
LMC570.22.118      proper motion 38.9 mas/year
LMC570.22.29       proper motion 49.2 mas/year
LMC570.24.340      RS CVn star
LMC570.26.4477     proper motion 45.1 mas/year
LMC570.27.5003     RS CVn star
LMC571.02.303      Galactic RR Lyrae
LMC571.02.4531     proper motion 35.9 mas/year
LMC571.02.4532     proper motion 37.3 mas/year
LMC571.04.5210     proper motion 29.7 mas/year
LMC571.04.5721     RS CVn star
LMC571.05.24       proper motion 47.5 mas/year
LMC571.12.55       proper motion 21.8 mas/year
LMC571.13.15       proper motion 38.5 mas/year
LMC571.13.4916     proper motion 19.2 mas/year
LMC571.16.5070     proper motion 27.5 mas/year
LMC571.18.29       proper motion 21.4 mas/year
LMC571.19.3687     proper motion 20.8 mas/year
LMC571.21.4574     proper motion 63.3 mas/year
LMC571.22.140      proper motion 25.0 mas/year
LMC571.22.3955     Galactic RR Lyrae
LMC571.25.10       proper motion 26.1 mas/year
LMC571.26.8        proper motion 53.5 mas/year
LMC571.28.3116     proper motion 69.0 mas/year
LMC571.28.84       proper motion 22.7 mas/year
